Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
Region IV-B,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region IV-B,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region V,Elementary,Female,2005,78.2,80.0,0.9,0.0
Region V,Elementary,Male,2005,65.9,68.5,0.9,0.0
Region V,Junior High,Female,2005,61.3,65.6,1.1,0.0
Region V,Junior High,Male,2005,47.0,53.1,1.1,0.0
Region V,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region V,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region VI,Elementary,Female,2005,74.4,76.5,0.9,0.0
Region VI,Elementary,Male,2005,59.4,63.3,0.9,0.0
Region VI,Junior High,Female,2005,69.4,73.8,1.1,0.0
Region VI,Junior High,Male,2005,53.0,59.8,1.1,0.0
Region VI,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region VI,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region VII,Elementary,Female,2005,77.4,80.4,0.9,0.0
Region VII,Elementary,Male,2005,62.1,67.2,0.9,0.0
Region VII,Junior High,Female,2005,62.6,67.4,1.1,0.0
Region VII,Junior High,Male,2005,44.3,51.2,1.1,0.0
Region VII,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region VII,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region VIII,Elementary,Female,2005,65.1,66.4,1.0,0.0
Region VIII,Elementary,Male,2005,52.5,54.7,1.0,0.0
Region VIII,Junior High,Female,2005,59.4,62.7,1.1,0.0
Region VIII,Junior High,Male,2005,48.5,53.6,1.1,0.0
Region VIII,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region VIII,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region IX,Elementary,Female,2005,60.7,62.4,1.0,0.0
Region IX,Elementary,Male,2005,47.8,49.8,1.0,0.0
Region IX,Junior High,Female,2005,52.4,58.2,1.1,0.0
Region IX,Junior High,Male,2005,41.0,48.3,1.1,0.0
Region IX,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region IX,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region X,Elementary,Female,2005,66.5,68.3,0.9,0.0
Region X,Elementary,Male,2005,53.8,55.9,0.9,0.0
Region X,Junior High,Female,2005,63.0,68.2,1.1,0.0
Region X,Junior High,Male,2005,51.1,57.9,1.1,0.0
